update,timesteps,mean_ep_return,mean_ep_len,success_rate,flip_rate,pipe_gap_violation_rate,policy_loss,value_loss,entropy,elapsed_s
1,16384,-260.84040449868206,47.355,0.0,0.93,0.045,-0.00963526125997305,11062.708984375,2.5388894081115723,1.0300827026367188
2,32768,-413.09060071478615,48.02,0.0,0.955,0.02,-0.003571051172912121,62078.828125,2.5599746704101562,1.522134780883789
3,49152,-249.97901199958378,44.005,0.0,0.955,0.035,0.022576874122023582,10236.8701171875,2.582014560699463,2.008514165878296
4,65536,-223.12150107608198,42.475,0.0,0.955,0.03,-0.011574022471904755,9040.802734375,2.6074471473693848,2.4968626499176025
5,81920,-173.8048338493656,34.585,0.0,0.975,0.025,-0.005821085534989834,3243.6982421875,2.610975980758667,3.0260353088378906
6,98304,-143.16748764063115,29.475,0.0,0.98,0.025,0.009979786351323128,8260.525390625,2.6468043327331543,3.5027987957000732
7,114688,-131.62582089326565,29.085,0.0,0.965,0.035,-0.004885869100689888,949.5580444335938,2.6497154235839844,4.037457704544067
8,131072,-129.38931909475525,31.375,0.0,0.885,0.115,-0.006670976523309946,718.9832763671875,2.6633033752441406,4.520167827606201
9,147456,-123.05543582052225,30.675,0.0,0.905,0.1,0.0083723533898592,606.9896240234375,2.672933340072632,4.936522960662842
10,163840,-117.2450344073114,29.405,0.0,0.915,0.105,0.028298109769821167,489.77142333984375,2.678699016571045,5.438514709472656
11,180224,-119.31547823548945,34.07,0.0,0.83,0.19,0.032084256410598755,403.6513671875,2.6825833320617676,5.895050764083862
12,196608,-110.99815842397297,31.695,0.0,0.765,0.25,-0.00859379768371582,320.39947509765625,2.716140031814575,6.3349316120147705
13,212992,-107.97035281189805,34.8,0.0,0.685,0.345,-0.020538292825222015,271.84857177734375,2.735663414001465,6.83181357383728
14,229376,-109.01201569275234,32.31,0.0,0.72,0.29,0.026335250586271286,295.0311279296875,2.744785785675049,7.329107999801636
15,245760,-105.75951042627432,33.075,0.0,0.6,0.415,0.003911237232387066,267.0322570800781,2.75481915473938,7.86638879776001
16,262144,-104.89660072149145,31.38,0.0,0.765,0.25,-0.021965496242046356,197.91725158691406,2.7721033096313477,8.403109312057495
17,278528,-100.76987127285265,31.48,0.0,0.665,0.345,-0.013795973733067513,161.24449157714844,2.7741894721984863,8.8880136013031
18,294912,-96.12680701503719,34.645,0.0,0.535,0.5,-0.003563272999599576,137.42959594726562,2.780733585357666,9.395682334899902
19,311296,-98.47713150363111,33.165,0.0,0.56,0.48,-0.009139573201537132,122.76899719238281,2.754652976989746,9.889952659606934
20,327680,-90.89997654060498,35.39,0.0,0.5,0.505,0.0009685191325843334,93.94625854492188,2.771395206451416,10.407898664474487
21,344064,-86.31089306634439,36.795,0.0,0.395,0.6,0.013653585687279701,138.19679260253906,2.7801856994628906,10.902371883392334
22,360448,-79.18700514538965,40.95,0.015,0.295,0.695,0.004540240857750177,148.26107788085938,2.789738178253174,11.409092664718628
23,376832,-78.58305415954437,39.715,0.01,0.24,0.75,-0.00873496476560831,131.63641357421875,2.8164520263671875,11.919773578643799
24,393216,-73.06527076077766,46.625,0.025,0.2,0.735,0.029195094481110573,122.4905014038086,2.8582212924957275,12.425837755203247
25,409600,-62.89733561696504,55.275,0.105,0.125,0.695,-0.026019105687737465,644.5123291015625,2.8734960556030273,12.893940448760986
26,425984,-55.22576666083428,51.245,0.115,0.125,0.63,-0.012070083059370518,463.2144775390625,2.8802807331085205,13.340015888214111
27,442368,-32.641629430612355,61.64,0.305,0.135,0.45,0.016998352482914925,490.5343017578125,2.8929696083068848,13.85107970237732
28,458752,-32.1762143879795,65.045,0.33,0.12,0.44,-0.009632859379053116,788.19384765625,2.908883571624756,14.309003591537476
29,475136,7.05499157476009,66.675,0.455,0.035,0.465,0.02244272455573082,533.4991455078125,2.9170351028442383,14.788661479949951
30,491520,9.021350515323729,65.305,0.515,0.085,0.385,-0.006211561616510153,532.8510131835938,2.924746513366699,15.291334390640259
31,507904,13.93762767935205,64.145,0.505,0.085,0.405,-0.004538853187114,600.6358642578125,2.9294180870056152,15.802833318710327
32,524288,37.34249858738151,67.6,0.645,0.05,0.29,0.0036743762902915478,524.1517333984375,2.9324851036071777,16.300905227661133
33,540672,78.48076183448723,70.495,0.81,0.015,0.155,0.010287393815815449,440.3960876464844,2.933018207550049,16.694077968597412
34,557056,70.79152337871682,68.055,0.805,0.005,0.18,-0.010450330562889576,366.2103271484375,2.9407243728637695,17.220702409744263
35,573440,82.5562261645137,70.65,0.885,0.015,0.1,-0.024986721575260162,238.45887756347656,2.939492702484131,17.702674627304077
36,589824,95.91732654796368,69.215,0.895,0.005,0.095,-0.008953886106610298,248.20437622070312,2.9399335384368896,18.224034786224365
37,606208,102.94315076892707,70.17,0.945,0.02,0.035,0.011002268642187119,156.52691650390625,2.9366116523742676,18.680119276046753
38,622592,119.27025227497337,70.105,0.975,0.01,0.015,0.009733464568853378,103.63272857666016,2.946152687072754,19.107197046279907
39,638976,117.50429786824519,70.86,0.955,0.005,0.045,-0.010193289257586002,98.88603210449219,2.9736433029174805,19.544519424438477
40,655360,122.70392556657636,69.805,0.955,0.005,0.04,-0.0045533133670687675,116.82624816894531,2.9927756786346436,20.030937433242798
41,671744,125.91845810282898,71.785,0.965,0.0,0.025,-0.0067130764946341515,119.45657348632812,3.0115041732788086,20.51279926300049
42,688128,132.20765364399568,73.58,0.96,0.0,0.04,0.007623287849128246,133.80560302734375,3.054129123687744,20.950666904449463
43,704512,139.2219750987685,75.27,0.98,0.01,0.01,0.012976553291082382,72.12071228027344,3.070039749145508,21.41582942008972
44,720896,138.173633276923,72.66,0.995,0.005,0.0,0.019818950444459915,43.73953628540039,3.080735683441162,21.845601081848145
45,737280,136.42042461905567,69.27,0.995,0.005,0.0,-0.013242160901427269,17.842960357666016,3.0882701873779297,22.346023082733154
46,753664,138.11354125479554,69.4,0.995,0.0,0.005,0.03534150868654251,37.80332946777344,3.0909674167633057,22.772096395492554
47,770048,142.1120092515124,71.65,1.0,0.0,0.0,0.018155161291360855,6.603072166442871,3.098426580429077,23.251452445983887
48,786432,141.52927282585054,70.315,0.99,0.0,0.01,0.00946885347366333,36.51718521118164,3.1866455078125,23.72838521003723
49,802816,147.20011850502152,73.485,1.0,0.0,0.005,0.01422111690044403,7.047593116760254,3.2068450450897217,24.230218172073364
50,819200,148.86341446923004,73.865,0.995,0.0,0.005,0.012102313339710236,21.78971290588379,3.216135025024414,24.669122457504272
51,835584,152.83543576389363,78.83,0.985,0.0,0.015,-0.014866911806166172,33.64026641845703,3.2243881225585938,25.11584758758545
52,851968,154.37707992105103,78.555,0.98,0.0,0.02,-0.011573840864002705,48.839473724365234,3.24252986907959,25.59782600402832
53,868352,153.74546859633688,74.555,0.99,0.0,0.01,-0.0050684865564107895,29.296674728393555,3.240788459777832,26.12379002571106
54,884736,155.54208692303118,73.295,1.0,0.0,0.0,0.00047440757043659687,2.513582706451416,3.2038321495056152,26.59079647064209
55,901120,159.54104859417419,75.77,0.995,0.0,0.005,-0.007513497956097126,9.633756637573242,3.1925435066223145,27.063440799713135
56,917504,159.7837309279613,76.84,0.985,0.0,0.015,0.007396555505692959,46.780052185058594,3.210724353790283,27.469412803649902
57,933888,162.92336137099687,77.915,1.0,0.0,0.0,-0.02212810143828392,1.7721807956695557,3.1760072708129883,27.93413233757019
58,950272,166.97580772548974,75.86,1.0,0.0,0.0,0.01668952777981758,1.3031277656555176,3.1119792461395264,28.374072074890137
59,966656,169.06582809595696,77.19,1.0,0.0,0.0,-0.004205881617963314,6.119190216064453,3.1039156913757324,28.838453769683838
60,983040,171.15372634687512,78.6,1.0,0.0,0.0,0.04257480055093765,1.5339796543121338,3.069373607635498,29.312004327774048
61,999424,169.08666020757838,78.885,0.98,0.0,0.02,-0.020891688764095306,40.26188659667969,3.0834717750549316,29.736687660217285
62,1015808,173.48302783534075,81.905,1.0,0.0,0.0,-1.0904623195528984e-05,0.8861949443817139,3.026841402053833,30.20831036567688
63,1032192,178.6564038572964,83.035,0.995,0.0,0.005,-0.009125416167080402,12.575852394104004,3.0204648971557617,30.687859773635864
64,1048576,184.8623192056288,86.59,1.0,0.0,0.0,-0.01806033030152321,0.8420642614364624,2.9526824951171875,31.076411962509155
65,1064960,190.80729598226193,92.905,1.0,0.0,0.0,-0.003938463982194662,0.6454630494117737,2.896946430206299,31.593499660491943
66,1081344,202.0667619523441,100.52,1.0,0.0,0.0,0.005029383581131697,0.8856440782546997,2.8314998149871826,32.04596519470215
67,1097728,212.75191165081858,107.475,0.995,0.0,0.0,-0.018315384164452553,3.6960718631744385,2.8491287231445312,32.49570369720459
68,1114112,228.4520086528371,119.975,0.995,0.0,0.0,-0.019128642976284027,0.9059947729110718,2.811666965484619,32.964569091796875
69,1130496,246.48974280180587,132.635,1.0,0.0,0.0,-0.014406269416213036,0.8968470096588135,2.7475943565368652,33.35486650466919
70,1146880,268.5463555691608,149.93,1.0,0.0,0.0,-0.0069510843604803085,1.080319881439209,2.6932334899902344,33.839603900909424
71,1163264,299.0132457546516,172.7,1.0,0.0,0.0,-0.013588715344667435,0.8569607734680176,2.657529592514038,34.29113578796387
72,1179648,338.1862567699993,202.72,1.0,0.0,0.0,-0.014072316698729992,0.7216066122055054,2.6314892768859863,34.76233530044556
73,1196032,357.99268014546584,217.42,0.995,0.0,0.0,-0.010548042133450508,6.104094505310059,2.629635810852051,35.19786477088928
